url,date
http://example.com/normal-news,2023-01-01
http://example.com/article-about-bạo-lực,2023-01-02
https://legit-site.org/index,2023-01-03
http://some-bad-site.com/lừa-đảo-investment,2023-01-04
https://another-example.net/đồi-trụy-content,2023-01-05
http://good-news.com/today,2023-01-06
http://site.com/khủng-bố-warning,2023-01-07
http://test.com/page-with-kích-động,2023-01-08
http://normal-blog.com/post,2023-01-09
http://another-bad-one.com/phong-van-ve-thù-hằn,2023-01-10
http://safe-url.com/about-us,2023-01-11
http://spam.com/this-is-a-scam-with-lừa-đảo,2023-01-12
http://extra-safe.com/politics,2023-01-13
http://news.com/vietnam-xuyên-tạc,2023-01-14
http://archive.org/details/khiêu-dâm-collection,2023-01-15
